discouted_price,discouted_rate,game_name,game_url,img_url,original_price,platform,rating,release_date
,,ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1646817776,Rp 599 000,win,"Very Positive 88% of the 297,569 user reviews for this game are positive.","24 Feb, 2022"
,,Dread Hunger,https://store.steampowered.com/app/1418630/Dread_Hunger/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1418630/capsule_sm_120.jpg?t=1647100775,Rp 169 999,win,"Mixed 68% of the 13,854 user reviews for this game are positive.","26 Jan, 2022"
Rp 98 099                    ,10%,The Planet Crafter,https://store.steampowered.com/app/1284190/The_Planet_Crafter/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1284190/capsule_sm_120.jpg?t=1648134787,Rp 108 999,win,"Overwhelmingly Positive 95% of the 1,413 user reviews for this game are positive.","24 Mar, 2022"
,,LEGO® Star Wars™: The Skywalker Saga,https://store.steampowered.com/app/920210/LEGO_Star_Wars_The_Skywalker_Saga/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/920210/capsule_sm_120.jpg?t=1643148138,Rp 622 000,win,,"5 Apr, 2022"
Rp 59 499                    ,65%,Disco Elysium - The Final Cut,https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/632470/capsule_sm_120_alt_assets_6.jpg?t=1648484662,Rp 169 999,"win,mac","Very Positive 94% of the 48,856 user reviews for this game are positive.","15 Oct, 2019"
,,Ghostwire: Tokyo,https://store.steampowered.com/app/1475810/Ghostwire_Tokyo/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1475810/capsule_sm_120.jpg?t=1648479992,Rp 494 900,win,"Very Positive 81% of the 2,286 user reviews for this game are positive.","24 Mar, 2022"
,,Grand Theft Auto V: Premium Edition,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V_Premium_Edition/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/5699/qipqf90z2z7h4x3i/capsule_sm_120.jpg?t=1611191314,Rp 148 370,win,"Very Positive 84% of the 1,195,062 user reviews for games in this bundle are positive.",
Rp 320 000                    ,50%,Red Dead Redemption 2,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1618851907,Rp 640 000,win,"Very Positive 87% of the 231,909 user reviews for this game are positive.","5 Dec, 2019"
,,CS:GO Prime Status Upgrade,https://store.steampowered.com/sub/54029/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/subs/54029/capsule_sm_120.jpg?t=1622831949,Rp 212 999,"win,mac,linux","Very Positive 88% of the 6,317,032 user reviews for games in this bundle are positive.","21 Aug, 2012"
Rp 99 999                    ,75%,Arma 3,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/107410/capsule_sm_120.jpg?t=1643208914,Rp 399 999,win,"Very Positive 90% of the 160,881 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","12 Sep, 2013"
,,Wallpaper Engine,https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/431960/capsule_sm_120.jpg?t=1637933048,Rp 35 999,win,"Overwhelmingly Positive 98% of the 452,214 user reviews for this software are positive.",Nov 2018
Rp 449 600                    ,20%,Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1248130/capsule_sm_120.jpg?t=1643963268,Rp 562 000,"win,mac","Very Positive 88% of the 18,900 user reviews for this game are positive.","21 Nov, 2021"
,,Core Keeper,https://store.steampowered.com/app/1621690/Core_Keeper/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1621690/capsule_sm_120_alt_assets_2.jpg?t=1647972563,Rp 83 999,"win,linux","Very Positive 91% of the 6,597 user reviews for this game are positive.","8 Mar, 2022"
Rp 89 999                    ,75%,Two Point Hospital,https://store.steampowered.com/app/535930/Two_Point_Hospital/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/535930/capsule_sm_120.jpg?t=1647356623,Rp 359 999,"win,mac,linux","Very Positive 92% of the 20,086 user reviews for this game are positive.","29 Aug, 2018"
Rp 417 913                    ,73%,Arma 3 Ultimate Edition,https://store.steampowered.com/bundle/11256/Arma_3_Ultimate_Edition/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/11256/b3m7d3lipqt0jrt3/capsule_sm_120.jpg?t=1570719057,Rp 1 551 964,win,"Very Positive 90% of the 168,761 user reviews for games in this bundle are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",
Rp 42 839                    ,66%,Human: Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/477160/capsule_sm_120.jpg?t=1648117181,Rp 125 999,"win,mac","Very Positive 94% of the 123,063 user reviews for this game are positive.","22 Jul, 2016"
Rp 389 160                    ,83%,Sid Meier’s Civilization® VI Anthology,https://store.steampowered.com/bundle/21432/Sid_Meiers_Civilization_VI_Anthology/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/21432/djvtj4go7ymkt5lv/capsule_sm_120.jpg?t=1643909106,Rp 2 297 996,"win,mac,linux","Very Positive 81% of the 157,946 user reviews for games in this bundle are positive.",
,,Raft,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/648800/capsule_sm_120.jpg?t=1642416570,Rp 135 999,win,"Very Positive 93% of the 140,711 user reviews for this game are positive.","23 May, 2018"
,,Dying Light 2 Stay Human,https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/534380/capsule_sm_120.jpg?t=1647447262,Rp 849 000,win,"Mostly Positive 79% of the 67,399 user reviews for this game are positive.","3 Feb, 2022"
Rp 138 750                    ,75%,Borderlands 3,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/397540/capsule_sm_120.jpg?t=1646090246,Rp 555 000,win,"Very Positive 84% of the 76,341 user reviews for this game are positive.","13 Mar, 2020"
Rp 76 799                    ,20%,Escape Simulator,https://store.steampowered.com/app/1435790/Escape_Simulator/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1435790/capsule_sm_120.jpg?t=1647961123,Rp 95 999,"win,mac,linux","Very Positive 94% of the 4,701 user reviews for this game are positive.","19 Oct, 2021"
Rp 98 099                    ,10%,Patrick's Parabox,https://store.steampowered.com/app/1260520/Patricks_Parabox/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1260520/capsule_sm_120.jpg?t=1648573236,Rp 108 999,"win,mac,linux",Very Positive 100% of the 99 user reviews for this game are positive.,"29 Mar, 2022"
,,Forza Horizon 5,https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1648582066,Rp 699 000,win,"Very Positive 86% of the 63,033 user reviews for this game are positive.","8 Nov, 2021"
,,Phasmophobia,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/capsule_sm_120.jpg?t=1638041534,Rp 89 999,"win,vr_supported","Overwhelmingly Positive 97% of the 335,680 user reviews for this game are positive.","18 Sep, 2020"
,,Weird West,https://store.steampowered.com/app/1097350/Weird_West/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1097350/capsule_sm_120.jpg?t=1648596553,Rp 249 999,win,,"31 Mar, 2022"
Rp 101 999                    ,15%,Nightmare Reaper,https://store.steampowered.com/app/1051690/Nightmare_Reaper/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1051690/capsule_sm_120.jpg?t=1648587042,Rp 119 999,win,"Overwhelmingly Positive 96% of the 1,129 user reviews for this game are positive.","28 Mar, 2022"
Rp 42 499                    ,75%,Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/capsule_sm_120.jpg?t=1646406984,Rp 169 999,"win,mac,linux","Overwhelmingly Positive 97% of the 397,458 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","12 Oct, 2012"
,,Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1144200/capsule_sm_120.jpg?t=1639785519,Rp 199 999,win,"Very Positive 93% of the 39,070 user reviews for this game are positive.","17 Dec, 2021"
,,Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1645133322,Rp 169 999,"win,mac","Very Positive 87% of the 616,368 user reviews for this game are positive.","8 Feb, 2018"
,,Rust,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/capsule_sm_120.jpg?t=1645133322,Rp 169 999,"win,mac","Very Positive 87% of the 616,368 user reviews for this game are positive.","8 Feb, 2018"
,,EA Play,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1289670/capsule_sm_120.jpg?t=1634331719,Rp 60 000,win,,"31 Aug, 2020"
Rp 143 550                    ,55%,Hunt: Showdown,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/594650/capsule_sm_120_alt_assets_2.jpg?t=1648537464,Rp 319 000,win,"Very Positive 84% of the 95,807 user reviews for this game are positive.","27 Aug, 2019"
,,NARAKA: BLADEPOINT,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1203220/capsule_sm_120.jpg?t=1647625187,Rp 220 000,win,"Very Positive 80% of the 85,697 user reviews for this game are positive.","11 Aug, 2021"
,,It Takes Two,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1426210/capsule_sm_120.jpg?t=1643015238,Rp 479 000,win,"Overwhelmingly Positive 96% of the 71,211 user reviews for this game are positive.","25 Mar, 2021"
Rp 146 694                    ,91%,Sid Meier's Civilization VI : Platinum Edition,https://store.steampowered.com/bundle/12218/Sid_Meiers_Civilization_VI__Platinum_Edition/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/12218/7cg856d5iyp2m6b2/capsule_sm_120.jpg?t=1570208553,Rp 1 643 996,"win,mac,linux","Very Positive 81% of the 157,245 user reviews for games in this bundle are positive.",
,,MONSTER HUNTER RISE,https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1647883081,Rp 847 999,win,"Very Positive 87% of the 16,851 user reviews for this game are positive.","12 Jan, 2022"
,,LEGO® Star Wars™: The Skywalker Saga,https://store.steampowered.com/app/920210/LEGO_Star_Wars_The_Skywalker_Saga/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/920210/capsule_sm_120.jpg?t=1643148138,Rp 622 000,win,,"5 Apr, 2022"
,,Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/413150/capsule_sm_120.jpg?t=1608624324,Rp 115 999,"win,mac,linux","Overwhelmingly Positive 98% of the 379,647 user reviews for this game are positive.","26 Feb, 2016"
,,God of War,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1593500/capsule_sm_120.jpg?t=1642526157,Rp 729 000,win,"Overwhelmingly Positive 97% of the 31,469 user reviews for this game are positive.","14 Jan, 2022"
,,Sea of Thieves,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/capsule_sm_120.jpg?t=1648169657,Rp 169 999,win,"Very Positive 90% of the 177,087 user reviews for this game are positive.","3 Jun, 2020"
Rp 190 224                    ,75%,Euro Truck Simulator 2 Map Booster,https://store.steampowered.com/bundle/5555/Euro_Truck_Simulator_2_Map_Booster/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/5555/liv1vt9cn3j11ykr/capsule_sm_120.jpg?t=1617904863,Rp 745 994,"win,mac,linux","Very Positive 92% of the 14,464 user reviews for games in this bundle are positive.",
,,Football Manager 2022,https://store.steampowered.com/app/1569040/Football_Manager_2022/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/1569040/capsule_sm_120.jpg?t=1638787050,Rp 549 999,"win,mac","Very Positive 91% of the 8,148 user reviews for this game are positive.","8 Nov, 2021"
,,The Forest,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1590522045,Rp 108 999,"win,vr_supported","Overwhelmingly Positive 95% of the 299,807 user reviews for this game are positive.","30 Apr, 2018"
Rp 59 999                    ,50%,House Flipper,https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/613100/capsule_sm_120.jpg?t=1648211001,Rp 119 999,"win,mac","Very Positive 92% of the 50,931 user reviews for this game are positive.","17 May, 2018"
Rp 227 225                    ,43%,Gold Box Classics,https://store.steampowered.com/bundle/24494/Gold_Box_Classics/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/24494/6ed0ld524b6ezdoi/capsule_sm_120.jpg?t=1648561713,Rp 398 994,win,Mostly Positive 76% of the 13 user reviews for games in this bundle are positive.,
Rp 38 149                    ,65%,theHunter: Call of the Wild™,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/capsule_sm_120.jpg?t=1645524263,Rp 108 999,win,"Very Positive 87% of the 88,000 user reviews for this game are positive.","16 Feb, 2017"
Rp 152 660                    ,66%,Assetto Corsa Competizione,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/805550/capsule_sm_120.jpg?t=1638536142,Rp 449 000,"win,vr_supported","Very Positive 90% of the 13,374 user reviews for this game are positive.","29 May, 2019"
,,Valheim,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1647939640,Rp 108 999,"win,linux","Overwhelmingly Positive 95% of the 292,212 user reviews for this game are positive.","2 Feb, 2021"
Rp 83 999                    ,30%,Green Hell,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/apps/815370/capsule_sm_120.jpg?t=1648575636,Rp 119 999,win,"Very Positive 87% of the 32,678 user reviews for this game are positive.","5 Sep, 2019"
Rp 71 014                    ,76%,The Escapists 2 - Game of the Year Edition,https://store.steampowered.com/bundle/11725/The_Escapists_2__Game_of_the_Year_Edition/?snr=1_7_7_7000_150_1,https://cdn.cloudflare.steamstatic.com/steam/bundles/11725/lk1y56vq98pkl4e1/capsule_sm_120.jpg?t=1565097307,Rp 299 996,"win,mac,linux","Very Positive 90% of the 18,132 user reviews for games in this bundle are positive.",
Rp 101 999                    ,15%,Nightmare Reaper,https://store.steampowered.com/app/1051690/Nightmare_Reaper/?snr=1_7_7_7000_150_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1051690/capsule_sm_120.jpg?t=1648587042,Rp 119 999,win,"Overwhelmingly Positive 96% of the 1,129 user reviews for this game are positive.","28 Mar, 2022"
